attach_permanently_rules,attach_temporarily_rules,passively_move_solids_rules,passively_move_liquids_rules,passively_move_gases_rules
attach firmly,temporary adhesion,freely permits movement of water across the cell membrane,buoyancy control,gliding flight
attaching firmly,reversible adhesion,,adjust buoyancy,passive flight
attachment strategy,being dislodged,,breakage by waves and tidal currents,gliding birds
pull-off force,suction adhesion,,rafting organisms,slow glides
fast glides,dislodging,,rafting in the marning environment,fast glides
